ID,Package,CWE,Date,Platform,GitHub URL,Stars,Contributors,Dependencies,Dependents
SNYK-DOTNET-MAGICKNETCORE-7856102,magick.net.core,CWE-122,1 Sep 2024,NuGet,https://github.com/dlemstra/Magick.NET,3400.0,37.0,44.0,0.0
SNYK-DOTNET-SERILOGENRICHERSCLIENTINFO-7853254,serilog.enrichers.clientinfo,CWE-348,30 Aug 2024,NuGet,https://github.com/serilog-contrib/serilog-enrichers-clientinfo,94.0,15.0,15.0,737.0
SNYK-DOTNET-RESTSHARP-7853196,restsharp,CWE-113,30 Aug 2024,NuGet,https://github.com/restsharp/RestSharp,9600.0,270.0,1220.0,73903.0
SNYK-DOTNET-UMBRACOCMSWEBCOMMON-7723923,umbraco.cms.web.common,CWE-209,25 Aug 2024,NuGet,https://github.com/umbraco/Umbraco-CMS,4400.0,655.0,513.0,2102.0
SNYK-DOTNET-MICROSOFTNETCOREAPPRUNTIMEWINX86-7678638,microsoft.netcore.app.runtime.win-x86,CWE-319,14 Aug 2024,NuGet,https://github.com/dotnet/runtime,15100.0,2298.0,738.0,147175.0
