ID,Package,CWE,CVE,Date,Disclosed_Date,Platform,Version Range,GitHub URL,Source
SNYK-DOTNET-UMBRACOCOMMERCE-7164888,umbraco.commerce,CWE-79,CVE-2024-35240,30 May 2024,28 May 2024,NuGet,"['[,10.0.5)', '[12.0.0,12.1.4)']",https://github.com/umbraco/Umbraco.Commerce.Issues,Snyk
SNYK-DOTNET-UMBRACOCMSCORE-6968881,umbraco.cms.core,CWE-79,CVE-2024-35218,22 May 2024,21 May 2024,NuGet,"['[,10.8.4)', '[12.0.0,12.3.7)', '[13.0.0,13.1.1)']",https://github.com/umbraco/Umbraco-CMS,Snyk
SNYK-DOTNET-UMBRACOCMSWEBBACKOFFICE-6941411,umbraco.cms.web.backoffice,CWE-601,CVE-2024-34071,21 May 2024,21 May 2024,NuGet,"['[8.18.5, 8.18.14)', '[10.5.0, 10.8.6)', '[12.0.0, 12.3.10)', '[13.0.0, 13.3.1)']",https://github.com/umbraco/Umbraco-CMS,Snyk
SNYK-DOTNET-MICROSOFTNETCOREAPPRUNTIMEWINX86-6846176,microsoft.netcore.app.runtime.win-x86,CWE-122,CVE-2024-30045,15 May 2024,14 May 2024,NuGet,"['[7.0.0,7.0.19)', '[8.0.0,8.0.5)']",https://github.com/dotnet/runtime,Snyk
SNYK-DOTNET-MICROSOFTASPNETCOREAPPRUNTIMEWINX86-6841722,microsoft.aspnetcore.app.runtime.win-x86,CWE-362,CVE-2024-30046,15 May 2024,14 May 2024,NuGet,"['[7.0.0,7.0.19)', '[8.0.0,8.0.5)']",https://github.com/dotnet/aspnetcore,Snyk
SNYK-DOTNET-NPGSQL-6825563,npgsql,CWE-89,CVE-2024-32655,9 May 2024,9 May 2024,NuGet,"['[,4.0.14)', '[4.1.0,4.1.13)', '[5.0.0,5.0.18)', '[6.0.0-preview2,6.0.11)', '[7.0.0-preview.1,7.0.7)', '[8.0.0-preview.1,8.0.3)']",https://github.com/npgsql/npgsql,Snyk
SNYK-DOTNET-UMBRACOWORKFLOW-6673844,umbraco.workflow,CWE-89,CVE-2024-32872,25 Apr 2024,24 Apr 2024,NuGet,"['[,10.3.9)', '[11.0.0-rc1,12.2.6)', '[13.0.0-rc1,13.0.6)']",,Snyk
SNYK-DOTNET-MICROSOFTIDENTITYCLIENT-6615953,microsoft.identity.client,CWE-926,CVE-2024-27086,17 Apr 2024,16 Apr 2024,NuGet,"['[4.48.0,4.59.1)', '[4.60.0,4.60.3)']",,Snyk
SNYK-DOTNET-SIXLABORSIMAGESHARP-6615679,sixlabors.imagesharp,CWE-789,CVE-2024-32035,16 Apr 2024,15 Apr 2024,NuGet,"['[,2.1.8)', '[3.0.0, 3.1.4)']",https://github.com/SixLabors/ImageSharp,Snyk
SNYK-DOTNET-SIXLABORSIMAGESHARP-6615678,sixlabors.imagesharp,CWE-226,CVE-2024-32036,16 Apr 2024,15 Apr 2024,NuGet,"['[,2.1.8)', '[3.0.0,3.1.4)']",https://github.com/SixLabors/ImageSharp,Snyk
SNYK-DOTNET-OPENTELEMETRYINSTRUMENTATIONHTTP-6613065,opentelemetry.instrumentation.http,CWE-212,CVE-2024-32028,14 Apr 2024,12 Apr 2024,NuGet,"['[,1.8.1)']",,Snyk
SNYK-DOTNET-AZUREIDENTITY-6597976,azure.identity,CWE-522,CVE-2024-29992,12 Apr 2024,9 Apr 2024,NuGet,"['[,1.11.0)']",,Snyk
SNYK-DOTNET-MICROSOFTWINDOWSDESKTOPAPPRUNTIMEWINX86-6594464,microsoft.windowsdesktop.app.runtime.win-x86,CWE-94,CVE-2024-21409,10 Apr 2024,9 Apr 2024,NuGet,"['[,6.0.29)', '[7.0.0,7.0.18)', '[8.0.0,8.0.4)']",,Snyk
SNYK-DOTNET-TINYMCE-6501004,tinymce,CWE-79,CVE-2024-29203,27 Mar 2024,26 Mar 2024,NuGet,"['[,7.0.0)']",https://github.com/tinymce/tinymce,Snyk
SNYK-DOTNET-TINYMCE-6501603,tinymce,CWE-79,CVE-2024-29881,27 Mar 2024,26 Mar 2024,NuGet,"['[,7.0.0)']",https://github.com/tinymce/tinymce,Snyk
SNYK-DOTNET-PANELSWWIX4SDK-6485451,panelswwix4.sdk,CWE-426,,26 Mar 2024,25 Mar 2024,NuGet,"['[,5.0.0-psw-wix.0265-49)']",https://github.com/nirbar/wix4,Snyk
SNYK-DOTNET-PANELSWCUSTOMWIX-6483816,panelsw.custom.wix,CWE-426,,26 Mar 2024,25 Mar 2024,NuGet,"['[,3.15.0-a46)']",,Snyk
SNYK-DOTNET-NUGETCOMMANDS-6483300,nuget.commands,CWE-732,CVE-2019-0976,25 Mar 2024,24 May 2022,NuGet,"['[5.0.0,5.0.2)']",,Snyk
SNYK-DOTNET-UMBRACOCMSINFRASTRUCTURE-6474570,umbraco.cms.infrastructure,CWE-204,CVE-2024-28868,21 Mar 2024,20 Mar 2024,NuGet,"['[10.0.0,10.8.5)']",https://github.com/umbraco/Umbraco-CMS,Snyk
SNYK-DOTNET-MICROSOFTNATIVEQUICMSQUICSCHANNEL-6438497,microsoft.native.quic.msquic.schannel,CWE-401,CVE-2024-26190,14 Mar 2024,12 Mar 2024,NuGet,"['[,2.3.5)']",https://github.com/microsoft/msquic,Snyk
SNYK-DOTNET-SIXLABORSIMAGESHARP-6394504,sixlabors.imagesharp,CWE-416,CVE-2024-27929,6 Mar 2024,5 Mar 2024,NuGet,"['[,2.1.7)', '[3.0.0,3.1.3)']",https://github.com/SixLabors/ImageSharp,Snyk
SNYK-DOTNET-FULLSTACKHEROWEBAPIBOILERPLATE-6359421,fullstackhero.webapi.boilerplate,CWE-644,CVE-2024-26470,3 Mar 2024,29 Feb 2024,NuGet,"['[1.0.0,]']",,Snyk
SNYK-DOTNET-SERENITYNETCORE-6256330,serenity.net.core,CWE-79,CVE-2024-26318,21 Feb 2024,19 Feb 2024,NuGet,"['[,6.8.0)']",,Snyk
SNYK-DOTNET-MICROSOFTAZUREWEBJOBSLOGGING-6245730,microsoft.azure.webjobs.logging,CWE-362,,14 Feb 2024,1 Feb 2024,NuGet,"['[,3.0.0)']",,Snyk
SNYK-DOTNET-PANELSWCUSTOMWIX-6241892,panelsw.custom.wix,CWE-426,CVE-2024-24810,12 Feb 2024,8 Feb 2024,NuGet,"['[,3.15.0-a44)']",,Snyk
SNYK-DOTNET-TRUELAYERCLIENT-6210163,truelayer.client,CWE-918,CVE-2024-23838,31 Jan 2024,30 Jan 2024,NuGet,"['[,1.6.0)']",,Snyk
SNYK-DOTNET-MICROSOFTDATASQLCLIENT-6149434,microsoft.data.sqlclient,CWE-420,CVE-2024-0056,10 Jan 2024,9 Jan 2024,NuGet,"['[,2.1.7)', '[3.0.0,3.1.5)', '[4.0.0,4.0.5)', '[5.0.0,5.1.3)']",https://github.com/dotnet/SqlClient,Snyk
SNYK-DOTNET-PETEROCBOR-6143547,petero.cbor,CWE-407,CVE-2024-21909,4 Jan 2024,3 Jan 2024,NuGet,"['[,4.5.2)']",https://github.com/peteroupc/CBOR,Snyk
