REPO_NAME,GITHUB_URL,PERIOD_START,PERIOD_END,CONTRIBUTORS,CUMULATIVE_CONTRIBUTORS
SNYK-RUST-TOODEE-1082886,toodee,https://github.com/antonmarsden/toodee,2017-01-01 00:00:00,2017-06-30 00:00:00,0,0
SNYK-RUST-TOODEE-1082886,toodee,https://github.com/antonmarsden/toodee,2017-07-01 00:00:00,2017-12-31 00:00:00,0,0
SNYK-RUST-TOODEE-1082886,toodee,https://github.com/antonmarsden/toodee,2018-01-01 00:00:00,2018-06-30 00:00:00,0,0
SNYK-RUST-TOODEE-1082886,toodee,https://github.com/antonmarsden/toodee,2018-07-01 00:00:00,2018-12-31 00:00:00,0,0
SNYK-RUST-TOODEE-1082886,toodee,https://github.com/antonmarsden/toodee,2019-01-01 00:00:00,2019-06-30 00:00:00,0,0
SNYK-RUST-TOODEE-1082886,toodee,https://github.com/antonmarsden/toodee,2019-07-01 00:00:00,2019-12-31 00:00:00,0,0
SNYK-RUST-TOODEE-1082886,toodee,https://github.com/antonmarsden/toodee,2020-01-01 00:00:00,2020-06-30 00:00:00,1,1
SNYK-RUST-TOODEE-1082886,toodee,https://github.com/antonmarsden/toodee,2020-07-01 00:00:00,2020-12-31 00:00:00,1,1
SNYK-RUST-TOODEE-1082886,toodee,https://github.com/antonmarsden/toodee,2021-01-01 00:00:00,2021-06-30 00:00:00,1,1
SNYK-RUST-TOODEE-1082886,toodee,https://github.com/antonmarsden/toodee,2021-07-01 00:00:00,2021-12-31 00:00:00,0,1
SNYK-RUST-TOODEE-1082886,toodee,https://github.com/antonmarsden/toodee,2022-01-01 00:00:00,2022-06-30 00:00:00,0,1
SNYK-RUST-TOODEE-1082886,toodee,https://github.com/antonmarsden/toodee,2022-07-01 00:00:00,2022-12-31 00:00:00,0,1
SNYK-RUST-TOODEE-1082886,toodee,https://github.com/antonmarsden/toodee,2023-01-01 00:00:00,2023-06-30 00:00:00,0,1
SNYK-RUST-TOODEE-1082886,toodee,https://github.com/antonmarsden/toodee,2023-07-01 00:00:00,2023-12-31 00:00:00,1,1
SNYK-RUST-TOODEE-1082886,toodee,https://github.com/antonmarsden/toodee,2024-01-01 00:00:00,2024-06-30 00:00:00,1,1
SNYK-RUST-TOODEE-1082886,toodee,https://github.com/antonmarsden/toodee,2024-07-01 00:00:00,2024-12-31 00:00:00,0,1
SNYK-RUST-QUINN-1082881,quinn,https://github.com/djc/quinn,2017-01-01 00:00:00,2017-06-30 00:00:00,0,0
SNYK-RUST-QUINN-1082881,quinn,https://github.com/djc/quinn,2017-07-01 00:00:00,2017-12-31 00:00:00,0,0
SNYK-RUST-QUINN-1082881,quinn,https://github.com/djc/quinn,2018-01-01 00:00:00,2018-06-30 00:00:00,5,5
SNYK-RUST-QUINN-1082881,quinn,https://github.com/djc/quinn,2018-07-01 00:00:00,2018-12-31 00:00:00,11,14
SNYK-RUST-QUINN-1082881,quinn,https://github.com/djc/quinn,2019-01-01 00:00:00,2019-06-30 00:00:00,11,21
SNYK-RUST-QUINN-1082881,quinn,https://github.com/djc/quinn,2019-07-01 00:00:00,2019-12-31 00:00:00,11,28
SNYK-RUST-QUINN-1082881,quinn,https://github.com/djc/quinn,2020-01-01 00:00:00,2020-06-30 00:00:00,11,34
SNYK-RUST-QUINN-1082881,quinn,https://github.com/djc/quinn,2020-07-01 00:00:00,2020-12-31 00:00:00,21,47
SNYK-RUST-QUINN-1082881,quinn,https://github.com/djc/quinn,2021-01-01 00:00:00,2021-06-30 00:00:00,20,57
SNYK-RUST-QUINN-1082881,quinn,https://github.com/djc/quinn,2021-07-01 00:00:00,2021-12-31 00:00:00,14,68
SNYK-RUST-QUINN-1082881,quinn,https://github.com/djc/quinn,2022-01-01 00:00:00,2022-06-30 00:00:00,16,81
SNYK-RUST-QUINN-1082881,quinn,https://github.com/djc/quinn,2022-07-01 00:00:00,2022-12-31 00:00:00,17,93
SNYK-RUST-QUINN-1082881,quinn,https://github.com/djc/quinn,2023-01-01 00:00:00,2023-06-30 00:00:00,22,110
SNYK-RUST-QUINN-1082881,quinn,https://github.com/djc/quinn,2023-07-01 00:00:00,2023-12-31 00:00:00,19,121
