ID,Package,CWE,Date,Platform,GitHub URL,Stars,Contributors,Dependencies,Dependents
GHSA-c9qr-f6c8-rgxf,github.com/cloudwego/hertz,CWE-22,29 Sep 2022,Go,https://github.com/cloudwego/hertz,5200.0,71.0,50.0,1461.0
GHSA-8fg9-p83m-x5pq,dparse,CWE-1333,27 Sep 2022,PyPI,https://github.com/pyupio/dparse,61.0,16.0,14.0,6657.0
GHSA-7hgc-php5-77qq,github.com/talos-systems/talos,CWE-732,16 Sep 2022,Go,https://github.com/siderolabs/talos,6600.0,206.0,639.0,0.0
GHSA-7pf9-7cff-f854,sosreport,CWE-200,2 Sep 2022,PyPI,https://github.com/sosreport/sos,508.0,313.0,17.0,0.0
GHSA-6h2x-4gjf-jc5w,autogluon.multimodal,CWE-502,21 Sep 2022,PyPI,https://github.com/awslabs/autogluon,7800.0,121.0,64.0,797.0
GHSA-5p8v-58qm-c7fp,python-jwt,CWE-290,21 Sep 2022,PyPI,https://github.com/davedoesdev/python-jwt,220.0,5.0,11.0,0.0
GHSA-5rc4-v5mj-g8c4,github.com/bytebase/bytebase,CWE-732,29 Sep 2022,Go,https://github.com/bytebase/bytebase,11200.0,83.0,491.0,1.0
GHSA-62g7-fpv9-v95f,inventree,CWE-79,30 Sep 2022,PyPI,https://github.com/inventree/inventree,4200.0,94.0,1180.0,0.0
GHSA-4rxr-27mm-mxq9,@next-auth/upstash-redis-adapter,CWE-287,30 Sep 2022,NPM,https://github.com/nextauthjs/next-auth,24400.0,822.0,3673.0,314780.0
GHSA-4p6f-m4f9-ch88,github.com/gagliardetto/binary,CWE-400,16 Sep 2022,Go,https://github.com/gagliardetto/binary,19.0,6.0,8.0,734.0
GHSA-3pgj-pg6c-r5p7,oauthlib,CWE-20,16 Sep 2022,PyPI,https://github.com/oauthlib/oauthlib,2800.0,178.0,14.0,564676.0
GHSA-42hx-vrxx-5r6v,jodit,CWE-79,25 Sep 2022,NPM,https://github.com/xdan/jodit,1700.0,69.0,1003.0,9665.0
GHSA-4456-w38r-m53x,org.hyperledger.besu:evm,CWE-196,23 Sep 2022,Maven,https://github.com/hyperledger/besu,1500.0,212.0,49.0,0.0
GHSA-462r-wxvm-jvxh,markdown-nice,CWE-79,10 Sep 2022,NPM,https://github.com/mdnice/markdown-nice,4200.0,14.0,1511.0,11.0
GHSA-2jjq-x548-rhpv,isolated-vm,CWE-20,30 Sep 2022,NPM,https://github.com/laverdet/isolated-vm,2100.0,28.0,11.0,3955.0
GHSA-2jv3-v37p-65w3,org.craftercms:crafter-studio,CWE-78,14 Sep 2022,Maven,https://github.com/craftercms/studio,24.0,20.0,100.0,0.0
GHSA-237r-mx84-7x8c,vncauthproxy,CWE-287,16 Sep 2022,PyPI,https://github.com/osuosl/twisted_vncauthproxy,7.0,9.0,11.0,11.0
GHSA-29qv-hhg4-6x96,libreform/libreform,CWE-200,7 Sep 2022,Composer,https://github.com/libreform/libreform,27.0,8.0,884.0,1.0
GHSA-wwch-cmqr-hhrm,ansible-runner,CWE-276,24 Aug 2022,PyPI,https://github.com/ansible/ansible-runner,959.0,96.0,53.0,5.0
GHSA-xc4w-28g8-vqm5,io.gravitee.apim:gravitee-api-management,CWE-22,24 Aug 2022,Maven,https://github.com/gravitee-io/gravitee-api-management,179.0,86.0,9803.0,0.0
GHSA-xxc2-j7jj-6g5m,raneto,CWE-287,5 Aug 2022,NPM,https://github.com/ryanlelek/Raneto,2800.0,66.0,665.0,1598.0
GHSA-v866-gwf5-w92f,io.ktor:ktor,CWE-697,13 Aug 2022,Maven,https://github.com/ktorio/ktor,12900.0,320.0,380.0,599.0
GHSA-vm6p-35rw-3fxc,aheinze/cockpit,CWE-613,9 Aug 2022,Composer,https://github.com/cockpit-hq/cockpit,367.0,12.0,33.0,0.0
GHSA-wcm8-86x6-8mv3,apache-avro,CWE-770,10 Aug 2022,Crates,https://github.com/a0x8o/avro,3.0,17.0,731.0,0.0
GHSA-rvgm-35jw-q628,mdx-mermaid,CWE-94,31 Aug 2022,NPM,https://github.com/sjwall/mdx-mermaid,165.0,12.0,2066.0,1357.0
GHSA-v65g-f3cj-fjp4,eth-account,CWE-1333,23 Aug 2022,PyPI,https://github.com/ethereum/eth-account,263.0,33.0,65.0,10369.0
GHSA-v78c-4p63-2j6c,moment-timezone,CWE-319,30 Aug 2022,NPM,https://github.com/moment/moment-timezone,3800.0,52.0,416.0,1437692.0
GHSA-pvc3-wvxr-7cmf,io.smallrye:smallrye-health-ui,CWE-79,26 Aug 2022,Maven,https://github.com/smallrye/smallrye-health,53.0,26.0,77.0,202.0
GHSA-p74q-2pf8-j5jx,exceedone/exment,CWE-89,25 Aug 2022,Composer,https://github.com/exceedone/exment,267.0,19.0,28.0,10.0
GHSA-j3rv-w43q-f9x2,react-editable-json-tree,CWE-95,18 Aug 2022,NPM,https://github.com/oxyno-zeta/react-editable-json-tree,107.0,2.0,1643.0,112.0
GHSA-hw2p-xqhq-3mjf,mobiledoc-kit,CWE-79,23 Aug 2022,NPM,https://github.com/bustle/mobiledoc-kit,1500.0,50.0,1147.0,89.0
GHSA-gwj5-wp6r-5q9f,github.com/crypto-org-chain/cronos,CWE-668,11 Aug 2022,Go,https://github.com/crypto-org-chain/cronos,291.0,33.0,1184.0,7.0
GHSA-f4qr-f4xx-hjxw,org.opensearch.plugin:opensearch-security,CWE-612,12 Aug 2022,Maven,https://github.com/opensearch-project/security,190.0,160.0,36.0,11.0
GHSA-f83q-2cp7-qrjg,untangle,CWE-611,6 Aug 2022,PyPI,https://github.com/stchris/untangle,611.0,13.0,42.0,1105.0
GHSA-f92v-grc2-w2fg,github.com/evmos/ethermint,CWE-668,18 Aug 2022,Go,https://github.com/evmos/ethermint,1800.0,83.0,3716.0,485.0
GHSA-cc8c-26rj-v2vx,administrate,CWE-352,6 Aug 2022,RubyGems,https://github.com/thoughtbot/administrate,5900.0,275.0,408.0,5764.0
GHSA-9jmq-rx5f-8jwq,nbconvert,CWE-79,10 Aug 2022,PyPI,https://github.com/jupyter/nbconvert,1700.0,256.0,34.0,303218.0
GHSA-c438-6f6r-pg8w,org.fourthline.cling:cling-core,CWE-918,16 Aug 2022,Maven,https://github.com/4thline/cling,1700.0,13.0,52.0,0.0
GHSA-8cw9-5hmv-77w6,sanic,CWE-22,6 Aug 2022,PyPI,https://github.com/sanic-org/sanic,18000.0,308.0,21.0,17128.0
GHSA-6278-2q4m-cmf3,org.zkoss.zk:zk,CWE-200,27 Aug 2022,Maven,https://github.com/zkoss/zk,435.0,47.0,1387.0,2.0
GHSA-6gjm-6wj6-4px5,fof/byobu,CWE-269,6 Aug 2022,Composer,https://github.com/FriendsOfFlarum/byobu,54.0,23.0,325.0,48.0
GHSA-6hcj-qrw3-m66q,fava,CWE-79,2 Aug 2022,PyPI,https://github.com/beancount/fava,1900.0,97.0,446.0,99.0
GHSA-739f-hw6h-7wq8,github.com/sigstore/policy-controller,CWE-347,10 Aug 2022,Go,https://github.com/sigstore/policy-controller,123.0,109.0,385.0,9.0
GHSA-5c8p-qhch-qhx6,deluge,CWE-79,27 Aug 2022,PyPI,https://github.com/deluge-torrent/deluge,1500.0,93.0,59.0,724.0
GHSA-4m2g-668v-jwjx,getkirby/starterkit,CWE-79,19 Aug 2022,Composer,https://github.com/getkirby/starterkit,177.0,14.0,41.0,0.0
GHSA-4mmh-5vw7-rgvj,com.github.jlangch:venice,CWE-22,18 Aug 2022,Maven,https://github.com/jlangch/venice,32.0,4.0,8.0,1.0
GHSA-4rg6-fm25-gc34,oauth2-server,CWE-601,30 Aug 2022,NPM,https://github.com/oauthjs/node-oauth2-server,4000.0,42.0,81.0,546.0
GHSA-3fg9-hcq5-vxrc,iana-time-zone,CWE-416,30 Aug 2022,Crates,https://github.com/strawlab/iana-time-zone,38.0,12.0,18.0,113300.0
GHSA-34j6-m83c-52x2,com.jflyfox:jflyfox_jfinal,CWE-79,26 Aug 2022,Maven,https://github.com/jflyfox/jflyfox_jfinal,3.0,0.0,18.0,16.0
GHSA-xxj3-55p6-xg3h,mxnet,CWE-400,25 Jul 2022,PyPI,https://github.com/apache/mxnet,20800.0,874.0,57.0,7412.0
GHSA-x3vm-38hw-55wf,mermaid,CWE-74,5 Jul 2022,NPM,https://github.com/mermaid-js/mermaid,71200.0,584.0,2451.0,54641.0
GHSA-x4g7-5xrm-5wmq,org.jenkins-ci.plugins:ec2-deployment-dashboard,CWE-352,1 Jul 2022,Maven,https://github.com/jenkinsci/ec2-deployment-dashboard,19.0,0.0,17.0,0.0
GHSA-xqcf-hj92-967m,django-rest-framework,CWE-79,24 Jul 2022,PyPI,https://github.com/encode/django-rest-framework,28200.0,1263.0,26.0,718888.0
GHSA-wrcr-x4qj-j543,github.com/kubeedge/kubeedge,CWE-400,11 Jul 2022,Go,https://github.com/kubeedge/kubeedge,6700.0,295.0,534.0,72.0
GHSA-x2pc-fqrw-hc7f,opendiamond,CWE-22,12 Jul 2022,PyPI,https://github.com/cmusatyalab/opendiamond,19.0,9.0,8.0,0.0
GHSA-w7f5-jrpr-5c2m,org.apache.calcite.avatica:avatica-core,CWE-665,29 Jul 2022,Maven,https://github.com/apache/calcite-avatica,248.0,138.0,39.0,0.0
GHSA-vpf7-q2rx-26mh,com.datapipe.jenkins.plugins:hashicorp-vault-plugin,CWE-862,28 Jul 2022,Maven,https://github.com/jenkinsci/hashicorp-vault-plugin,218.0,40.0,24.0,0.0
GHSA-qq3j-44gw-cf6r,org.eclipse.californium:californium-core,CWE-408,30 Jul 2022,Maven,https://github.com/eclipse/californium,728.0,55.0,128.0,0.0
GHSA-qp72-96p2-g644,shiva,CWE-22,12 Jul 2022,PyPI,https://github.com/tooxie/shiva-server,557.0,12.0,12.0,10.0
GHSA-qpqw-mc85-qvm9,awesome_spawn,CWE-78,1 Jul 2022,RubyGems,https://github.com/ManageIQ/awesome_spawn,9.0,13.0,8.0,56.0
