ID,Package,CWE,Date,Platform,GitHub URL,Stars,Contributors,Dependencies,Dependents
SNYK-UNMANAGED-NGINX-7687588,nginx,CWE-126,15 Aug 2024,C/C++,https://github.com/nginx/nginx,24700.0,73.0,2.0,19.0
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,ggerganov/llama.cpp,CWE-125,13 Aug 2024,C/C++,https://github.com/ggerganov/llama.cpp,65900.0,910.0,125.0,20.0
SNYK-UNMANAGED-TORVALDSLINUX-7675670,torvalds/linux,CWE-400,11 Aug 2024,C/C++,https://github.com/torvalds/linux,180000.0,5000.0,19.0,1.0
SNYK-UNMANAGED-AWSS2NTLS-7675661,aws/s2n-tls,CWE-287,11 Aug 2024,C/C++,https://github.com/aws/s2n-tls,4500.0,193.0,121.0,181.0
SNYK-UNMANAGED-WEBKITGTK-7654160,webkitgtk,CWE-352,9 Aug 2024,C/C++,https://github.com/WebKit/WebKit,7900.0,1033.0,30654.0,0.0
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,CWE-352,9 Aug 2024,C/C++,https://github.com/chromium/chromium,18900.0,3319.0,1071.0,0.0
SNYK-UNMANAGED-UNBOUND-7647457,unbound,CWE-476,8 Aug 2024,C/C++,https://github.com/NLnetLabs/unbound,3100.0,103.0,6.0,0.0
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,michaelrsweet/pdfio,CWE-835,7 Aug 2024,C/C++,https://github.com/michaelrsweet/pdfio,187.0,5.0,12.0,0.0
SNYK-UNMANAGED-GRPC-7641065,grpc,CWE-440,6 Aug 2024,C/C++,https://github.com/grpc/grpc,41700.0,896.0,206.0,5120.0
SNYK-UNMANAGED-XDGDESKTOPPORTALHYPRLAND-7573322,xdg-desktop-portal-hyprland,CWE-78,30 Jul 2024,C/C++,https://github.com/hyprwm/xdg-desktop-portal-hyprland,275.0,50.0,3.0,0.0
SNYK-UNMANAGED-APACHETRAFFICSERVER-7573320,apache/trafficserver,CWE-20,30 Jul 2024,C/C++,https://github.com/apache/trafficserver,1800.0,259.0,42.0,0.0
SNYK-UNMANAGED-OPENIMAGEIOOIIO-7573297,OpenImageIO/oiio,CWE-125,30 Jul 2024,C/C++,https://github.com/AcademySoftwareFoundation/OpenImageIO,2000.0,223.0,23.0,0.0
SNYK-UNMANAGED-ZMARTZONEMODAUTHOPENIDC-7573296,zmartzone/mod_auth_openidc,CWE-400,30 Jul 2024,C/C++,https://github.com/OpenIDC/mod_auth_openidc,976.0,50.0,6.0,0.0
SNYK-UNMANAGED-MIKEKAZAKOVNIMBLECOMMANDER-7572549,mikekazakov/nimble-commander,CWE-863,28 Jul 2024,C/C++,https://github.com/mikekazakov/nimble-commander,323.0,2.0,9.0,0.0
SNYK-UNMANAGED-VNOTEXVNOTE-7558567,vnotex/vnote,CWE-79,25 Jul 2024,C/C++,https://github.com/vnotex/vnote,11800.0,45.0,21.0,0.0
SNYK-UNMANAGED-DUCKDBDUCKDB-7558566,duckdb/duckdb,CWE-200,25 Jul 2024,C/C++,https://github.com/duckdb/duckdb,23200.0,362.0,114.0,16966.0
SNYK-UNMANAGED-OPENRESTYOPENRESTY-7555083,openresty/openresty,CWE-400,24 Jul 2024,C/C++,https://github.com/openresty/openresty,12500.0,34.0,4.0,19.0
SNYK-UNMANAGED-APACHEHTTPD-7548219,apache/httpd,CWE-918,23 Jul 2024,C/C++,https://github.com/apache/httpd,3500.0,48.0,5.0,0.0
SNYK-UNMANAGED-KEEPALIVED-7538449,keepalived,CWE-190,18 Jul 2024,C/C++,https://github.com/acassen/keepalived,4000.0,127.0,1.0,0.0
SNYK-UNMANAGED-OPEN5GSOPEN5GS-7462727,open5gs/open5gs,CWE-120,17 Jul 2024,C/C++,https://github.com/open5gs/open5gs,1800.0,88.0,861.0,0.0
SNYK-UNMANAGED-NEUTRINOLABSXRDP-7448458,neutrinolabs/xrdp,CWE-307,14 Jul 2024,C/C++,https://github.com/neutrinolabs/xrdp,5700.0,100.0,4.0,0.0
SNYK-UNMANAGED-SURICATA-7448457,suricata,CWE-770,14 Jul 2024,C/C++,https://github.com/OISF/suricata,4600.0,195.0,36.0,70.0
SNYK-UNMANAGED-389DS389DSBASE-7444637,389ds/389-ds-base,CWE-230,12 Jul 2024,C/C++,https://github.com/389ds/389-ds-base,211.0,89.0,740.0,0.0
SNYK-UNMANAGED-UCLOUVAINOPENJPEG-7444599,uclouvain/openjpeg,CWE-400,12 Jul 2024,C/C++,https://github.com/uclouvain/openjpeg,971.0,80.0,7.0,0.0
SNYK-UNMANAGED-FREERADIUSFREERADIUSSERVER-7443582,freeradius/freeradius-server,CWE-290,11 Jul 2024,C/C++,https://github.com/FreeRADIUS/freeradius-server,2100.0,189.0,56.0,0.0
SNYK-UNMANAGED-BOTAN-7430919,botan,CWE-295,9 Jul 2024,C/C++,https://github.com/randombit/botan,2600.0,133.0,9.0,0.0
SNYK-UNMANAGED-COCKPITPROJECTCOCKPIT-7430270,cockpit-project/cockpit,CWE-400,8 Jul 2024,C/C++,https://github.com/cockpit-project/cockpit,11100.0,198.0,76.0,19.0
SNYK-UNMANAGED-QTQTBASE-7430255,qt/qtbase,CWE-325,8 Jul 2024,C/C++,https://github.com/qt/qtbase,2400.0,910.0,47.0,0.0
SNYK-UNMANAGED-MONGODBMONGOCDRIVER-7430238,mongodb/mongo-c-driver,CWE-122,8 Jul 2024,C/C++,https://github.com/mongodb/mongo-c-driver,813.0,123.0,53.0,0.0
SNYK-UNMANAGED-SAMSUNGWALRUS-7424611,Samsung/walrus,CWE-129,5 Jul 2024,C/C++,https://github.com/Samsung/walrus,40.0,9.0,7.0,0.0
SNYK-UNMANAGED-QEMUPROJECTQEMU-7424604,qemu-project/qemu,CWE-20,5 Jul 2024,C/C++,https://github.com/qemu/qemu,10200.0,1663.0,3.0,19.0
SNYK-UNMANAGED-ZNC-7421697,znc,CWE-94,4 Jul 2024,C/C++,https://github.com/znc/znc,2000.0,153.0,12.0,0.0
SNYK-UNMANAGED-OPENSSHPORTABLE-7420337,openssh-portable,CWE-208,4 Jul 2024,C/C++,https://github.com/openssh/openssh-portable,3100.0,80.0,10.0,0.0
SNYK-UNMANAGED-ENVOYPROXYENVOY-7418004,envoyproxy/envoy,CWE-416,3 Jul 2024,C/C++,https://github.com/envoyproxy/envoy,24800.0,1178.0,297.0,16.0
SNYK-UNMANAGED-DATADOGDDTRACECPP-7413609,DataDog/dd-trace-cpp,CWE-20,30 Jun 2024,C/C++,https://github.com/DataDog/dd-trace-cpp,8.0,14.0,3.0,0.0
