ID,Package,CWE,Date,Platform,GitHub URL,Stars,Contributors,Dependencies,Dependents
SNYK-PYTHON-BIKESHED-1537647,bikeshed,CWE-22,15 Aug 2021,PyPI,https://github.com/tabatkins/bikeshed,1100.0,112.0,57.0,44.0
SNYK-JS-MERGECHANGE-1310985,merge-change,CWE-1321,11 Aug 2021,NPM,https://github.com/VladimirShestakov/merge-change,2.0,0.0,460.0,34.0
SNYK-PHP-CODECEPTIONCODECEPTION-1324585,codeception/codeception,CWE-502,9 Aug 2021,Composer,https://github.com/Codeception/Codeception,4800.0,640.0,38.0,49645.0
SNYK-JS-OPENGRAPH-1536747,open-graph,CWE-1321,5 Aug 2021,NPM,https://github.com/samholmes/node-open-graph,79.0,9.0,77.0,0.0
SNYK-PYTHON-GLANCES-1311807,glances,CWE-611,29 Jul 2021,PyPI,https://github.com/nicolargo/glances,26500.0,167.0,598.0,958.0
SNYK-JS-CURLYBRACKETPARSER-1297106,curly-bracket-parser,CWE-79,28 Jul 2021,NPM,https://github.com/magynhard/curly-bracket-parser,6.0,0.0,476.0,5.0
SNYK-JS-DEEPMERGEFN-1310984,deepmergefn,CWE-1321,28 Jul 2021,NPM,https://github.com/jesusgm/deepmergefn,4.0,0.0,2.0,2.0
SNYK-JS-VIDEOJS-1533429,video.js,CWE-79,26 Jul 2021,NPM,https://github.com/videojs/video.js,37900.0,464.0,1638.0,48097.0
SNYK-JS-JSZIP-1251497,jszip,CWE-400,25 Jul 2021,NPM,https://github.com/Stuk/jszip,9800.0,54.0,461.0,1788242.0
SNYK-JS-ANCHORME-1311008,anchorme,CWE-79,21 Jul 2021,NPM,https://github.com/alexcorvi/anchorme.js,561.0,10.0,548.0,3.0
SNYK-JS-MSGPACK-1296122,msgpack,CWE-502,21 Jul 2021,NPM,https://github.com/msgpack/msgpack-node,311.0,20.0,1.0,941.0
SNYK-JAVA-COMGRAPHHOPPER-1320114,com.graphhopper:graphhopper-web-bundle,CWE-1321,20 Jul 2021,Maven,https://github.com/graphhopper/graphhopper,5300.0,111.0,134.0,344.0
SNYK-GOLANG-GITHUBCOMPIRESGOPROXYPROTO-1316439,github.com/pires/go-proxyproto,CWE-400,12 Jul 2021,Go,https://github.com/pires/go-proxyproto,484.0,24.0,10.0,4979.0
SNYK-JS-D3COLOR-1076592,d3-color,CWE-400,5 Jul 2021,NPM,https://github.com/d3/d3-color,400.0,12.0,165.0,641274.0
SNYK-JS-RECORDLIKEDEEPASSIGN-1311024,record-like-deep-assign,CWE-1321,2 Jul 2021,NPM,https://github.com/kripod/record-like-deep-assign,5.0,0.0,751.0,0.0
SNYK-JS-TSNODASH-1311009,ts-nodash,CWE-1321,2 Jul 2021,NPM,https://github.com/BadOPCode/NoDash,2.0,8.0,293.0,3.0
SNYK-PYTHON-FLASKUSER-1293188,flask-user,CWE-601,30 Jun 2021,PyPI,https://github.com/lingthio/Flask-User,1100.0,36.0,43.0,2788.0
SNYK-JS-WINCRED-1078538,wincred,CWE-77,27 Jun 2021,NPM,https://github.com/rolangom/wincred,0.0,0.0,2.0,3.0
SNYK-JS-ISEMAIL-1279002,is-email,CWE-400,27 Jun 2021,NPM,https://github.com/segmentio/is-email,48.0,4.0,600.0,835.0
SNYK-PYTHON-FLASKUNCHAINED-1293189,flask-unchained,CWE-601,10 Jun 2021,PyPI,https://github.com/briancappello/flask-unchained,79.0,2.0,205.0,18.0
SNYK-JS-APEXCHARTS-1300579,apexcharts,CWE-79,8 Jun 2021,NPM,https://github.com/apexcharts/apexcharts.js,14300.0,180.0,1958.0,1.0
SNYK-JS-NESTIE-1300518,nestie,CWE-1321,7 Jun 2021,NPM,https://github.com/lukeed/nestie,201.0,2.0,3.0,18.0
SNYK-JS-CALIPSO-1300555,calipso,CWE-29,7 Jun 2021,NPM,https://github.com/cliftonc/calipso,1700.0,35.0,32.0,5.0
SNYK-JS-LOCUTUS-1090597,locutus,CWE-400,6 Jun 2021,NPM,https://github.com/locutusjs/locutus,3700.0,114.0,1695.0,14458.0
SNYK-JS-FORMS-1296389,forms,CWE-400,31 May 2021,NPM,https://github.com/caolan/forms,1000.0,38.0,25.0,1822.0
SNYK-JS-DNSPACKET-1293563,dns-packet,CWE-201,20 May 2021,NPM,https://github.com/mafintosh/dns-packet,204.0,17.0,12.0,16576507.0
SNYK-PYTHON-FLASKSECURITY-1293234,flask-security,CWE-601,18 May 2021,PyPI,https://github.com/mattupstate/flask-security,1600.0,116.0,27.0,7993.0
SNYK-JS-KOAREMOVETRAILINGSLASHES-1085708,koa-remove-trailing-slashes,CWE-601,17 May 2021,NPM,https://github.com/vgno/koa-remove-trailing-slashes,2.0,5.0,8.0,81.0
SNYK-JS-TRAILINGSLASH-1085707,trailing-slash,CWE-601,17 May 2021,NPM,https://github.com/fardog/trailing-slash,2.0,2.0,182.0,18.0
SNYK-JS-ISSVG-1243891,is-svg,CWE-400,5 May 2021,NPM,https://github.com/sindresorhus/is-svg,131.0,13.0,8.0,5602582.0
SNYK-JS-HANDLEBARS-1279029,handlebars,CWE-1321,4 May 2021,NPM,https://github.com/handlebars-lang/handlebars.js,18000.0,187.0,1775.0,4697788.0
SNYK-JS-NGXMARKDOWNEDITOR-1245072,ngx-markdown-editor,CWE-79,3 May 2021,NPM,https://github.com/lon-yang/ngx-markdown-editor,173.0,8.0,852.0,437.0
SNYK-JS-CYPRESS-1255446,cypress,CWE-276,29 Apr 2021,NPM,https://github.com/cypress-io/cypress,46800.0,499.0,64105.0,1376100.0
SNYK-JS-BROWSERSLIST-1090194,browserslist,CWE-400,28 Apr 2021,NPM,https://github.com/browserslist/browserslist,13000.0,176.0,343.0,27379593.0
SNYK-JS-VALIDATOR-1090600,validator,CWE-400,26 Apr 2021,NPM,https://github.com/validatorjs/validator.js,23100.0,496.0,26.0,2567062.0
SNYK-JS-POSTCSS-1255640,postcss,CWE-400,26 Apr 2021,NPM,https://github.com/postcss/postcss,28500.0,385.0,25.0,27189268.0
SNYK-GOLANG-GITHUBCOMTYKTECHNOLOGIESTYKIDENTITYBROKER-1089720,github.com/tyktechnologies/tyk-identity-broker,CWE-287,22 Apr 2021,Go,https://github.com/TykTechnologies/tyk-identity-broker,110.0,35.0,133.0,0.0
SNYK-JS-FFMPEGDOTJS-1078542,ffmpegdotjs,CWE-77,18 Apr 2021,NPM,https://github.com/TRomesh/ffmpegdotjs,4.0,3.0,447.0,4.0
SNYK-JS-ONIONOLEDJS-1078808,onion-oled-js,CWE-77,18 Apr 2021,NPM,https://github.com/naddeoa/onion-oled-js,4.0,0.0,7.0,4.0
SNYK-JS-PSNODE-1078543,psnode,CWE-77,18 Apr 2021,NPM,https://github.com/nrako/psnode,9.0,0.0,1.0,18.0
SNYK-JS-KILLING-1078532,killing,CWE-77,18 Apr 2021,NPM,https://github.com/xudafeng/killing,3.0,0.0,2.0,14.0
SNYK-JS-SHVL-1085284,shvl,CWE-1321,12 Apr 2021,NPM,https://github.com/robinvdvleuten/shvl,73.0,5.0,9.0,40681.0
SNYK-JS-CHRONONODE-1083228,chrono-node,CWE-400,11 Apr 2021,NPM,https://github.com/wanasit/chrono,4600.0,73.0,666.0,0.0
SNYK-JS-SWIPER-1088062,swiper,CWE-1321,11 Apr 2021,NPM,https://github.com/nolimits4web/swiper,39700.0,307.0,788.0,638380.0
SNYK-JS-KILLBYPORT-1078531,kill-by-port,CWE-77,30 Mar 2021,NPM,https://github.com/GuyMograbi/kill-by-port,1.0,0.0,4.0,11.0
SNYK-JS-UNDERSCORE-1080984,underscore,CWE-94,29 Mar 2021,NPM,https://github.com/jashkenas/underscore,27300.0,285.0,915.0,4057047.0
SNYK-JS-HOSTEDGITINFO-1088355,hosted-git-info,CWE-400,23 Mar 2021,NPM,https://github.com/npm/hosted-git-info,217.0,32.0,27.0,15126935.0
SNYK-JS-COPYPROPS-1082870,copy-props,CWE-1321,22 Mar 2021,NPM,https://github.com/gulpjs/copy-props,10.0,3.0,8.0,0.0
SNYK-JS-KILLPORT-1078535,killport,CWE-77,21 Mar 2021,NPM,https://github.com/ssnau/killport,2.0,0.0,2.0,139.0
SNYK-JS-ES6CRAWLERDETECT-1051529,es6-crawler-detect,CWE-400,21 Mar 2021,NPM,https://github.com/JefferyHus/es6-crawler-detect,90.0,10.0,519.0,71.0
SNYK-GOLANG-GITHUBCOMTYKTECHNOLOGIESTYKGATEWAY-1078516,github.com/tyktechnologies/tyk/gateway,CWE-22,15 Mar 2021,Go,https://github.com/TykTechnologies/tyk,9600.0,121.0,565.0,0.0
SNYK-JS-PRINTF-1072096,printf,CWE-400,12 Mar 2021,NPM,https://github.com/adaltas/node-printf,90.0,13.0,4.0,51418.0
SNYK-JS-COLORSTRING-1082939,color-string,CWE-400,12 Mar 2021,NPM,https://github.com/Qix-/color-string,214.0,25.0,3.0,9576974.0
SNYK-JS-STYLEDICTIONARY-1080632,style-dictionary,CWE-1321,11 Mar 2021,NPM,https://github.com/amzn/style-dictionary,3900.0,141.0,1732.0,33176.0
SNYK-PYTHON-YOLOV5-1078308,yolov5,CWE-94,10 Mar 2021,PyPI,https://github.com/ultralytics/yolov5,50000.0,343.0,55.0,0.0
SNYK-JS-XMLDOM-1084960,xmldom,CWE-611,10 Mar 2021,NPM,https://github.com/xmldom/xmldom,352.0,58.0,809.0,878823.0
SNYK-JS-JSPDF-1073626,jspdf,CWE-400,9 Mar 2021,NPM,https://github.com/MrRio/jsPDF,29100.0,191.0,1088.0,150923.0
SNYK-PYTHON-PARLAI-1078802,parlai,CWE-502,8 Mar 2021,PyPI,https://github.com/facebookresearch/ParlAI,10500.0,199.0,653.0,251.0
SNYK-JS-HTMLPARSESTRINGIFY-1079306,html-parse-stringify,CWE-400,1 Mar 2021,NPM,https://github.com/HenrikJoreteg/html-parse-stringify,338.0,15.0,467.0,188823.0
SNYK-JS-PROTOTYPEDJS-1069824,prototyped.js,CWE-1321,1 Mar 2021,NPM,https://github.com/ardalanamini/prototyped.js,24.0,2.0,463.0,74.0
SNYK-JS-RFC6902-1053318,rfc6902,CWE-1321,26 Feb 2021,NPM,https://github.com/chbrown/rfc6902,318.0,9.0,8.0,8006.0
