REPO_NAME,GITHUB_URL,PERIOD_START,PERIOD_END,CONTRIBUTORS,CUMULATIVE_CONTRIBUTORS
GHSA-5mv9-q7fq-9394,singularity,https://github.com/sylabs/singularity,2023-01-01 00:00:00,2023-06-30 00:00:00,15,165
GHSA-5mv9-q7fq-9394,singularity,https://github.com/sylabs/singularity,2023-07-01 00:00:00,2023-12-31 00:00:00,11,170
GHSA-5mv9-q7fq-9394,singularity,https://github.com/sylabs/singularity,2024-01-01 00:00:00,2024-06-30 00:00:00,4,171
GHSA-5mv9-q7fq-9394,singularity,https://github.com/sylabs/singularity,2024-07-01 00:00:00,2024-12-31 00:00:00,6,173
GHSA-656c-6cxf-hvcv,flask-caching,https://github.com/sh4nks/flask-caching,2017-01-01 00:00:00,2017-06-30 00:00:00,6,6
GHSA-656c-6cxf-hvcv,flask-caching,https://github.com/sh4nks/flask-caching,2017-07-01 00:00:00,2017-12-31 00:00:00,8,13
GHSA-656c-6cxf-hvcv,flask-caching,https://github.com/sh4nks/flask-caching,2018-01-01 00:00:00,2018-06-30 00:00:00,4,16
GHSA-656c-6cxf-hvcv,flask-caching,https://github.com/sh4nks/flask-caching,2018-07-01 00:00:00,2018-12-31 00:00:00,3,18
GHSA-656c-6cxf-hvcv,flask-caching,https://github.com/sh4nks/flask-caching,2019-01-01 00:00:00,2019-06-30 00:00:00,7,24
GHSA-656c-6cxf-hvcv,flask-caching,https://github.com/sh4nks/flask-caching,2019-07-01 00:00:00,2019-12-31 00:00:00,8,28
GHSA-656c-6cxf-hvcv,flask-caching,https://github.com/sh4nks/flask-caching,2020-01-01 00:00:00,2020-06-30 00:00:00,9,35
GHSA-656c-6cxf-hvcv,flask-caching,https://github.com/sh4nks/flask-caching,2020-07-01 00:00:00,2020-12-31 00:00:00,10,43
GHSA-656c-6cxf-hvcv,flask-caching,https://github.com/sh4nks/flask-caching,2021-01-01 00:00:00,2021-06-30 00:00:00,9,49
GHSA-656c-6cxf-hvcv,flask-caching,https://github.com/sh4nks/flask-caching,2021-07-01 00:00:00,2021-12-31 00:00:00,5,53
GHSA-656c-6cxf-hvcv,flask-caching,https://github.com/sh4nks/flask-caching,2022-01-01 00:00:00,2022-06-30 00:00:00,8,59
GHSA-656c-6cxf-hvcv,flask-caching,https://github.com/sh4nks/flask-caching,2022-07-01 00:00:00,2022-12-31 00:00:00,7,63
GHSA-656c-6cxf-hvcv,flask-caching,https://github.com/sh4nks/flask-caching,2023-01-01 00:00:00,2023-06-30 00:00:00,3,65
GHSA-656c-6cxf-hvcv,flask-caching,https://github.com/sh4nks/flask-caching,2023-07-01 00:00:00,2023-12-31 00:00:00,7,69
GHSA-656c-6cxf-hvcv,flask-caching,https://github.com/sh4nks/flask-caching,2024-01-01 00:00:00,2024-06-30 00:00:00,6,73
GHSA-656c-6cxf-hvcv,flask-caching,https://github.com/sh4nks/flask-caching,2024-07-01 00:00:00,2024-12-31 00:00:00,0,73
GHSA-4hq8-gmxx-h6w9,saml,https://github.com/crewjam/saml,2017-01-01 00:00:00,2017-06-30 00:00:00,15,15
GHSA-4hq8-gmxx-h6w9,saml,https://github.com/crewjam/saml,2017-07-01 00:00:00,2017-12-31 00:00:00,6,18
GHSA-4hq8-gmxx-h6w9,saml,https://github.com/crewjam/saml,2018-01-01 00:00:00,2018-06-30 00:00:00,4,21
GHSA-4hq8-gmxx-h6w9,saml,https://github.com/crewjam/saml,2018-07-01 00:00:00,2018-12-31 00:00:00,8,28
GHSA-4hq8-gmxx-h6w9,saml,https://github.com/crewjam/saml,2019-01-01 00:00:00,2019-06-30 00:00:00,4,32
GHSA-4hq8-gmxx-h6w9,saml,https://github.com/crewjam/saml,2019-07-01 00:00:00,2019-12-31 00:00:00,25,56
GHSA-4hq8-gmxx-h6w9,saml,https://github.com/crewjam/saml,2020-01-01 00:00:00,2020-06-30 00:00:00,8,62
GHSA-4hq8-gmxx-h6w9,saml,https://github.com/crewjam/saml,2020-07-01 00:00:00,2020-12-31 00:00:00,14,72
GHSA-4hq8-gmxx-h6w9,saml,https://github.com/crewjam/saml,2021-01-01 00:00:00,2021-06-30 00:00:00,8,78
