REPO_NAME,GITHUB_URL,PERIOD_START,PERIOD_END,CONTRIBUTORS,CUMULATIVE_CONTRIBUTORS
SNYK-UNMANAGED-NGINX-7687588,nginx,https://github.com/nginx/nginx,2017-01-01 00:00:00,2017-06-30 00:00:00,0,0
SNYK-UNMANAGED-NGINX-7687588,nginx,https://github.com/nginx/nginx,2017-07-01 00:00:00,2017-12-31 00:00:00,1,1
SNYK-UNMANAGED-NGINX-7687588,nginx,https://github.com/nginx/nginx,2018-01-01 00:00:00,2018-06-30 00:00:00,0,1
SNYK-UNMANAGED-NGINX-7687588,nginx,https://github.com/nginx/nginx,2018-07-01 00:00:00,2018-12-31 00:00:00,0,1
SNYK-UNMANAGED-NGINX-7687588,nginx,https://github.com/nginx/nginx,2019-01-01 00:00:00,2019-06-30 00:00:00,4,5
SNYK-UNMANAGED-NGINX-7687588,nginx,https://github.com/nginx/nginx,2019-07-01 00:00:00,2019-12-31 00:00:00,7,9
SNYK-UNMANAGED-NGINX-7687588,nginx,https://github.com/nginx/nginx,2020-01-01 00:00:00,2020-06-30 00:00:00,11,14
SNYK-UNMANAGED-NGINX-7687588,nginx,https://github.com/nginx/nginx,2020-07-01 00:00:00,2020-12-31 00:00:00,9,17
SNYK-UNMANAGED-NGINX-7687588,nginx,https://github.com/nginx/nginx,2021-01-01 00:00:00,2021-06-30 00:00:00,6,17
SNYK-UNMANAGED-NGINX-7687588,nginx,https://github.com/nginx/nginx,2021-07-01 00:00:00,2021-12-31 00:00:00,11,22
SNYK-UNMANAGED-NGINX-7687588,nginx,https://github.com/nginx/nginx,2022-01-01 00:00:00,2022-06-30 00:00:00,8,24
SNYK-UNMANAGED-NGINX-7687588,nginx,https://github.com/nginx/nginx,2022-07-01 00:00:00,2022-12-31 00:00:00,9,29
SNYK-UNMANAGED-NGINX-7687588,nginx,https://github.com/nginx/nginx,2023-01-01 00:00:00,2023-06-30 00:00:00,4,30
SNYK-UNMANAGED-NGINX-7687588,nginx,https://github.com/nginx/nginx,2023-07-01 00:00:00,2023-12-31 00:00:00,7,34
SNYK-UNMANAGED-NGINX-7687588,nginx,https://github.com/nginx/nginx,2024-01-01 00:00:00,2024-06-30 00:00:00,2,34
SNYK-UNMANAGED-NGINX-7687588,nginx,https://github.com/nginx/nginx,2024-07-01 00:00:00,2024-12-31 00:00:00,9,41
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,llama.cpp,https://github.com/ggerganov/llama.cpp,2017-01-01 00:00:00,2017-06-30 00:00:00,0,0
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,llama.cpp,https://github.com/ggerganov/llama.cpp,2017-07-01 00:00:00,2017-12-31 00:00:00,0,0
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,llama.cpp,https://github.com/ggerganov/llama.cpp,2018-01-01 00:00:00,2018-06-30 00:00:00,0,0
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,llama.cpp,https://github.com/ggerganov/llama.cpp,2018-07-01 00:00:00,2018-12-31 00:00:00,0,0
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,llama.cpp,https://github.com/ggerganov/llama.cpp,2019-01-01 00:00:00,2019-06-30 00:00:00,0,0
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,llama.cpp,https://github.com/ggerganov/llama.cpp,2019-07-01 00:00:00,2019-12-31 00:00:00,0,0
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,llama.cpp,https://github.com/ggerganov/llama.cpp,2020-01-01 00:00:00,2020-06-30 00:00:00,0,0
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,llama.cpp,https://github.com/ggerganov/llama.cpp,2020-07-01 00:00:00,2020-12-31 00:00:00,0,0
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,llama.cpp,https://github.com/ggerganov/llama.cpp,2021-01-01 00:00:00,2021-06-30 00:00:00,0,0
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,llama.cpp,https://github.com/ggerganov/llama.cpp,2021-07-01 00:00:00,2021-12-31 00:00:00,0,0
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,llama.cpp,https://github.com/ggerganov/llama.cpp,2022-01-01 00:00:00,2022-06-30 00:00:00,0,0
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,llama.cpp,https://github.com/ggerganov/llama.cpp,2022-07-01 00:00:00,2022-12-31 00:00:00,0,0
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,llama.cpp,https://github.com/ggerganov/llama.cpp,2023-01-01 00:00:00,2023-06-30 00:00:00,221,221
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,llama.cpp,https://github.com/ggerganov/llama.cpp,2023-07-01 00:00:00,2023-12-31 00:00:00,282,466
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,llama.cpp,https://github.com/ggerganov/llama.cpp,2024-01-01 00:00:00,2024-06-30 00:00:00,370,773
SNYK-UNMANAGED-GGERGANOVLLAMACPP-7676290,llama.cpp,https://github.com/ggerganov/llama.cpp,2024-07-01 00:00:00,2024-12-31 00:00:00,197,910
SNYK-UNMANAGED-TORVALDSLINUX-7675670,linux,https://github.com/torvalds/linux,2017-01-01 00:00:00,2017-06-30 00:00:00,3171,3171
SNYK-UNMANAGED-TORVALDSLINUX-7675670,linux,https://github.com/torvalds/linux,2017-07-01 00:00:00,2017-12-31 00:00:00,3073,4591
SNYK-UNMANAGED-TORVALDSLINUX-7675670,linux,https://github.com/torvalds/linux,2018-01-01 00:00:00,2018-06-30 00:00:00,3148,5848
SNYK-UNMANAGED-TORVALDSLINUX-7675670,linux,https://github.com/torvalds/linux,2018-07-01 00:00:00,2018-12-31 00:00:00,3157,7021
SNYK-UNMANAGED-TORVALDSLINUX-7675670,linux,https://github.com/torvalds/linux,2019-01-01 00:00:00,2019-06-30 00:00:00,3165,8135
SNYK-UNMANAGED-TORVALDSLINUX-7675670,linux,https://github.com/torvalds/linux,2019-07-01 00:00:00,2019-12-31 00:00:00,3178,9165
SNYK-UNMANAGED-TORVALDSLINUX-7675670,linux,https://github.com/torvalds/linux,2020-01-01 00:00:00,2020-06-30 00:00:00,3353,10257
SNYK-UNMANAGED-TORVALDSLINUX-7675670,linux,https://github.com/torvalds/linux,2020-07-01 00:00:00,2020-12-31 00:00:00,3381,11323
SNYK-UNMANAGED-TORVALDSLINUX-7675670,linux,https://github.com/torvalds/linux,2021-01-01 00:00:00,2021-06-30 00:00:00,3536,12482
SNYK-UNMANAGED-TORVALDSLINUX-7675670,linux,https://github.com/torvalds/linux,2021-07-01 00:00:00,2021-12-31 00:00:00,3343,13517
SNYK-UNMANAGED-TORVALDSLINUX-7675670,linux,https://github.com/torvalds/linux,2022-01-01 00:00:00,2022-06-30 00:00:00,3558,14619
SNYK-UNMANAGED-TORVALDSLINUX-7675670,linux,https://github.com/torvalds/linux,2022-07-01 00:00:00,2022-12-31 00:00:00,3558,15712
SNYK-UNMANAGED-TORVALDSLINUX-7675670,linux,https://github.com/torvalds/linux,2023-01-01 00:00:00,2023-06-30 00:00:00,3632,16812
SNYK-UNMANAGED-TORVALDSLINUX-7675670,linux,https://github.com/torvalds/linux,2023-07-01 00:00:00,2023-12-31 00:00:00,3554,17764
SNYK-UNMANAGED-TORVALDSLINUX-7675670,linux,https://github.com/torvalds/linux,2024-01-01 00:00:00,2024-06-30 00:00:00,3596,18778
SNYK-UNMANAGED-TORVALDSLINUX-7675670,linux,https://github.com/torvalds/linux,2024-07-01 00:00:00,2024-12-31 00:00:00,2440,19307
SNYK-UNMANAGED-AWSS2NTLS-7675661,s2n-tls,https://github.com/aws/s2n-tls,2017-01-01 00:00:00,2017-06-30 00:00:00,24,24
SNYK-UNMANAGED-AWSS2NTLS-7675661,s2n-tls,https://github.com/aws/s2n-tls,2017-07-01 00:00:00,2017-12-31 00:00:00,27,38
SNYK-UNMANAGED-AWSS2NTLS-7675661,s2n-tls,https://github.com/aws/s2n-tls,2018-01-01 00:00:00,2018-06-30 00:00:00,25,51
SNYK-UNMANAGED-AWSS2NTLS-7675661,s2n-tls,https://github.com/aws/s2n-tls,2018-07-01 00:00:00,2018-12-31 00:00:00,32,67
SNYK-UNMANAGED-AWSS2NTLS-7675661,s2n-tls,https://github.com/aws/s2n-tls,2019-01-01 00:00:00,2019-06-30 00:00:00,35,83
SNYK-UNMANAGED-AWSS2NTLS-7675661,s2n-tls,https://github.com/aws/s2n-tls,2019-07-01 00:00:00,2019-12-31 00:00:00,41,109
SNYK-UNMANAGED-AWSS2NTLS-7675661,s2n-tls,https://github.com/aws/s2n-tls,2020-01-01 00:00:00,2020-06-30 00:00:00,49,130
SNYK-UNMANAGED-AWSS2NTLS-7675661,s2n-tls,https://github.com/aws/s2n-tls,2020-07-01 00:00:00,2020-12-31 00:00:00,38,149
SNYK-UNMANAGED-AWSS2NTLS-7675661,s2n-tls,https://github.com/aws/s2n-tls,2021-01-01 00:00:00,2021-06-30 00:00:00,38,163
SNYK-UNMANAGED-AWSS2NTLS-7675661,s2n-tls,https://github.com/aws/s2n-tls,2021-07-01 00:00:00,2021-12-31 00:00:00,28,170
SNYK-UNMANAGED-AWSS2NTLS-7675661,s2n-tls,https://github.com/aws/s2n-tls,2022-01-01 00:00:00,2022-06-30 00:00:00,24,179
SNYK-UNMANAGED-AWSS2NTLS-7675661,s2n-tls,https://github.com/aws/s2n-tls,2022-07-01 00:00:00,2022-12-31 00:00:00,34,197
SNYK-UNMANAGED-AWSS2NTLS-7675661,s2n-tls,https://github.com/aws/s2n-tls,2023-01-01 00:00:00,2023-06-30 00:00:00,27,205
SNYK-UNMANAGED-AWSS2NTLS-7675661,s2n-tls,https://github.com/aws/s2n-tls,2023-07-01 00:00:00,2023-12-31 00:00:00,19,208
SNYK-UNMANAGED-AWSS2NTLS-7675661,s2n-tls,https://github.com/aws/s2n-tls,2024-01-01 00:00:00,2024-06-30 00:00:00,18,214
SNYK-UNMANAGED-AWSS2NTLS-7675661,s2n-tls,https://github.com/aws/s2n-tls,2024-07-01 00:00:00,2024-12-31 00:00:00,17,217
SNYK-UNMANAGED-WEBKITGTK-7654160,WebKit,https://github.com/WebKit/WebKit,2017-01-01 00:00:00,2017-06-30 00:00:00,169,169
SNYK-UNMANAGED-WEBKITGTK-7654160,WebKit,https://github.com/WebKit/WebKit,2017-07-01 00:00:00,2017-12-31 00:00:00,168,218
SNYK-UNMANAGED-WEBKITGTK-7654160,WebKit,https://github.com/WebKit/WebKit,2018-01-01 00:00:00,2018-06-30 00:00:00,173,265
SNYK-UNMANAGED-WEBKITGTK-7654160,WebKit,https://github.com/WebKit/WebKit,2018-07-01 00:00:00,2018-12-31 00:00:00,170,304
SNYK-UNMANAGED-WEBKITGTK-7654160,WebKit,https://github.com/WebKit/WebKit,2019-01-01 00:00:00,2019-06-30 00:00:00,179,342
SNYK-UNMANAGED-WEBKITGTK-7654160,WebKit,https://github.com/WebKit/WebKit,2019-07-01 00:00:00,2019-12-31 00:00:00,165,380
SNYK-UNMANAGED-WEBKITGTK-7654160,WebKit,https://github.com/WebKit/WebKit,2020-01-01 00:00:00,2020-06-30 00:00:00,180,418
SNYK-UNMANAGED-WEBKITGTK-7654160,WebKit,https://github.com/WebKit/WebKit,2020-07-01 00:00:00,2020-12-31 00:00:00,180,453
SNYK-UNMANAGED-WEBKITGTK-7654160,WebKit,https://github.com/WebKit/WebKit,2021-01-01 00:00:00,2021-06-30 00:00:00,189,498
SNYK-UNMANAGED-WEBKITGTK-7654160,WebKit,https://github.com/WebKit/WebKit,2021-07-01 00:00:00,2021-12-31 00:00:00,212,542
SNYK-UNMANAGED-WEBKITGTK-7654160,WebKit,https://github.com/WebKit/WebKit,2022-01-01 00:00:00,2022-06-30 00:00:00,212,583
SNYK-UNMANAGED-WEBKITGTK-7654160,WebKit,https://github.com/WebKit/WebKit,2022-07-01 00:00:00,2022-12-31 00:00:00,223,653
SNYK-UNMANAGED-WEBKITGTK-7654160,WebKit,https://github.com/WebKit/WebKit,2023-01-01 00:00:00,2023-06-30 00:00:00,223,705
SNYK-UNMANAGED-WEBKITGTK-7654160,WebKit,https://github.com/WebKit/WebKit,2023-07-01 00:00:00,2023-12-31 00:00:00,216,742
SNYK-UNMANAGED-WEBKITGTK-7654160,WebKit,https://github.com/WebKit/WebKit,2024-01-01 00:00:00,2024-06-30 00:00:00,246,807
SNYK-UNMANAGED-WEBKITGTK-7654160,WebKit,https://github.com/WebKit/WebKit,2024-07-01 00:00:00,2024-12-31 00:00:00,216,844
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,https://github.com/chromium/chromium,2017-01-01 00:00:00,2017-06-30 00:00:00,1414,1414
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,https://github.com/chromium/chromium,2017-07-01 00:00:00,2017-12-31 00:00:00,1477,1832
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,https://github.com/chromium/chromium,2018-01-01 00:00:00,2018-06-30 00:00:00,1466,2210
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,https://github.com/chromium/chromium,2018-07-01 00:00:00,2018-12-31 00:00:00,1544,2612
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,https://github.com/chromium/chromium,2019-01-01 00:00:00,2019-06-30 00:00:00,1636,3066
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,https://github.com/chromium/chromium,2019-07-01 00:00:00,2019-12-31 00:00:00,1701,3438
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,https://github.com/chromium/chromium,2020-01-01 00:00:00,2020-06-30 00:00:00,1795,3851
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,https://github.com/chromium/chromium,2020-07-01 00:00:00,2020-12-31 00:00:00,1815,4182
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,https://github.com/chromium/chromium,2021-01-01 00:00:00,2021-06-30 00:00:00,1835,4534
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,https://github.com/chromium/chromium,2021-07-01 00:00:00,2021-12-31 00:00:00,1918,4937
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,https://github.com/chromium/chromium,2022-01-01 00:00:00,2022-06-30 00:00:00,2039,5414
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,https://github.com/chromium/chromium,2022-07-01 00:00:00,2022-12-31 00:00:00,2171,5899
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,https://github.com/chromium/chromium,2023-01-01 00:00:00,2023-06-30 00:00:00,2117,6213
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,https://github.com/chromium/chromium,2023-07-01 00:00:00,2023-12-31 00:00:00,2094,6482
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,https://github.com/chromium/chromium,2024-01-01 00:00:00,2024-06-30 00:00:00,2117,6770
SNYK-UNMANAGED-CHROMIUM-7654159,chromium,https://github.com/chromium/chromium,2024-07-01 00:00:00,2024-12-31 00:00:00,1753,6956
SNYK-UNMANAGED-UNBOUND-7647457,unbound,https://github.com/NLnetLabs/unbound,2017-01-01 00:00:00,2017-06-30 00:00:00,3,3
SNYK-UNMANAGED-UNBOUND-7647457,unbound,https://github.com/NLnetLabs/unbound,2017-07-01 00:00:00,2017-12-31 00:00:00,2,3
SNYK-UNMANAGED-UNBOUND-7647457,unbound,https://github.com/NLnetLabs/unbound,2018-01-01 00:00:00,2018-06-30 00:00:00,2,3
SNYK-UNMANAGED-UNBOUND-7647457,unbound,https://github.com/NLnetLabs/unbound,2018-07-01 00:00:00,2018-12-31 00:00:00,3,3
SNYK-UNMANAGED-UNBOUND-7647457,unbound,https://github.com/NLnetLabs/unbound,2019-01-01 00:00:00,2019-06-30 00:00:00,8,8
SNYK-UNMANAGED-UNBOUND-7647457,unbound,https://github.com/NLnetLabs/unbound,2019-07-01 00:00:00,2019-12-31 00:00:00,16,20
SNYK-UNMANAGED-UNBOUND-7647457,unbound,https://github.com/NLnetLabs/unbound,2020-01-01 00:00:00,2020-06-30 00:00:00,24,36
SNYK-UNMANAGED-UNBOUND-7647457,unbound,https://github.com/NLnetLabs/unbound,2020-07-01 00:00:00,2020-12-31 00:00:00,21,50
SNYK-UNMANAGED-UNBOUND-7647457,unbound,https://github.com/NLnetLabs/unbound,2021-01-01 00:00:00,2021-06-30 00:00:00,26,66
SNYK-UNMANAGED-UNBOUND-7647457,unbound,https://github.com/NLnetLabs/unbound,2021-07-01 00:00:00,2021-12-31 00:00:00,20,78
SNYK-UNMANAGED-UNBOUND-7647457,unbound,https://github.com/NLnetLabs/unbound,2022-01-01 00:00:00,2022-06-30 00:00:00,16,85
SNYK-UNMANAGED-UNBOUND-7647457,unbound,https://github.com/NLnetLabs/unbound,2022-07-01 00:00:00,2022-12-31 00:00:00,18,94
SNYK-UNMANAGED-UNBOUND-7647457,unbound,https://github.com/NLnetLabs/unbound,2023-01-01 00:00:00,2023-06-30 00:00:00,17,104
SNYK-UNMANAGED-UNBOUND-7647457,unbound,https://github.com/NLnetLabs/unbound,2023-07-01 00:00:00,2023-12-31 00:00:00,15,113
SNYK-UNMANAGED-UNBOUND-7647457,unbound,https://github.com/NLnetLabs/unbound,2024-01-01 00:00:00,2024-06-30 00:00:00,12,119
SNYK-UNMANAGED-UNBOUND-7647457,unbound,https://github.com/NLnetLabs/unbound,2024-07-01 00:00:00,2024-12-31 00:00:00,7,123
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,pdfio,https://github.com/michaelrsweet/pdfio,2017-01-01 00:00:00,2017-06-30 00:00:00,0,0
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,pdfio,https://github.com/michaelrsweet/pdfio,2017-07-01 00:00:00,2017-12-31 00:00:00,0,0
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,pdfio,https://github.com/michaelrsweet/pdfio,2018-01-01 00:00:00,2018-06-30 00:00:00,0,0
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,pdfio,https://github.com/michaelrsweet/pdfio,2018-07-01 00:00:00,2018-12-31 00:00:00,0,0
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,pdfio,https://github.com/michaelrsweet/pdfio,2019-01-01 00:00:00,2019-06-30 00:00:00,0,0
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,pdfio,https://github.com/michaelrsweet/pdfio,2019-07-01 00:00:00,2019-12-31 00:00:00,0,0
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,pdfio,https://github.com/michaelrsweet/pdfio,2020-01-01 00:00:00,2020-06-30 00:00:00,0,0
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,pdfio,https://github.com/michaelrsweet/pdfio,2020-07-01 00:00:00,2020-12-31 00:00:00,0,0
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,pdfio,https://github.com/michaelrsweet/pdfio,2021-01-01 00:00:00,2021-06-30 00:00:00,2,2
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,pdfio,https://github.com/michaelrsweet/pdfio,2021-07-01 00:00:00,2021-12-31 00:00:00,2,2
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,pdfio,https://github.com/michaelrsweet/pdfio,2022-01-01 00:00:00,2022-06-30 00:00:00,2,3
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,pdfio,https://github.com/michaelrsweet/pdfio,2022-07-01 00:00:00,2022-12-31 00:00:00,1,3
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,pdfio,https://github.com/michaelrsweet/pdfio,2023-01-01 00:00:00,2023-06-30 00:00:00,2,3
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,pdfio,https://github.com/michaelrsweet/pdfio,2023-07-01 00:00:00,2023-12-31 00:00:00,4,5
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,pdfio,https://github.com/michaelrsweet/pdfio,2024-01-01 00:00:00,2024-06-30 00:00:00,2,5
SNYK-UNMANAGED-MICHAELRSWEETPDFIO-7646770,pdfio,https://github.com/michaelrsweet/pdfio,2024-07-01 00:00:00,2024-12-31 00:00:00,3,6
SNYK-UNMANAGED-GRPC-7641065,grpc,https://github.com/grpc/grpc,2017-01-01 00:00:00,2017-06-30 00:00:00,104,104
SNYK-UNMANAGED-GRPC-7641065,grpc,https://github.com/grpc/grpc,2017-07-01 00:00:00,2017-12-31 00:00:00,118,176
SNYK-UNMANAGED-GRPC-7641065,grpc,https://github.com/grpc/grpc,2018-01-01 00:00:00,2018-06-30 00:00:00,114,238
SNYK-UNMANAGED-GRPC-7641065,grpc,https://github.com/grpc/grpc,2018-07-01 00:00:00,2018-12-31 00:00:00,125,307
SNYK-UNMANAGED-GRPC-7641065,grpc,https://github.com/grpc/grpc,2019-01-01 00:00:00,2019-06-30 00:00:00,138,383
SNYK-UNMANAGED-GRPC-7641065,grpc,https://github.com/grpc/grpc,2019-07-01 00:00:00,2019-12-31 00:00:00,127,446
SNYK-UNMANAGED-GRPC-7641065,grpc,https://github.com/grpc/grpc,2020-01-01 00:00:00,2020-06-30 00:00:00,128,510
SNYK-UNMANAGED-GRPC-7641065,grpc,https://github.com/grpc/grpc,2020-07-01 00:00:00,2020-12-31 00:00:00,100,556
SNYK-UNMANAGED-GRPC-7641065,grpc,https://github.com/grpc/grpc,2021-01-01 00:00:00,2021-06-30 00:00:00,105,606
SNYK-UNMANAGED-GRPC-7641065,grpc,https://github.com/grpc/grpc,2021-07-01 00:00:00,2021-12-31 00:00:00,106,668
SNYK-UNMANAGED-GRPC-7641065,grpc,https://github.com/grpc/grpc,2022-01-01 00:00:00,2022-06-30 00:00:00,86,705
SNYK-UNMANAGED-GRPC-7641065,grpc,https://github.com/grpc/grpc,2022-07-01 00:00:00,2022-12-31 00:00:00,86,747
SNYK-UNMANAGED-GRPC-7641065,grpc,https://github.com/grpc/grpc,2023-01-01 00:00:00,2023-06-30 00:00:00,107,810
SNYK-UNMANAGED-GRPC-7641065,grpc,https://github.com/grpc/grpc,2023-07-01 00:00:00,2023-12-31 00:00:00,87,847
SNYK-UNMANAGED-GRPC-7641065,grpc,https://github.com/grpc/grpc,2024-01-01 00:00:00,2024-06-30 00:00:00,85,885
SNYK-UNMANAGED-GRPC-7641065,grpc,https://github.com/grpc/grpc,2024-07-01 00:00:00,2024-12-31 00:00:00,47,903
SNYK-UNMANAGED-XDGDESKTOPPORTALHYPRLAND-7573322,xdg-desktop-portal-hyprland,https://github.com/hyprwm/xdg-desktop-portal-hyprland,2017-01-01 00:00:00,2017-06-30 00:00:00,0,0
SNYK-UNMANAGED-XDGDESKTOPPORTALHYPRLAND-7573322,xdg-desktop-portal-hyprland,https://github.com/hyprwm/xdg-desktop-portal-hyprland,2017-07-01 00:00:00,2017-12-31 00:00:00,0,0
SNYK-UNMANAGED-XDGDESKTOPPORTALHYPRLAND-7573322,xdg-desktop-portal-hyprland,https://github.com/hyprwm/xdg-desktop-portal-hyprland,2018-01-01 00:00:00,2018-06-30 00:00:00,0,0
SNYK-UNMANAGED-XDGDESKTOPPORTALHYPRLAND-7573322,xdg-desktop-portal-hyprland,https://github.com/hyprwm/xdg-desktop-portal-hyprland,2018-07-01 00:00:00,2018-12-31 00:00:00,1,1
SNYK-UNMANAGED-XDGDESKTOPPORTALHYPRLAND-7573322,xdg-desktop-portal-hyprland,https://github.com/hyprwm/xdg-desktop-portal-hyprland,2019-01-01 00:00:00,2019-06-30 00:00:00,1,1
SNYK-UNMANAGED-XDGDESKTOPPORTALHYPRLAND-7573322,xdg-desktop-portal-hyprland,https://github.com/hyprwm/xdg-desktop-portal-hyprland,2019-07-01 00:00:00,2019-12-31 00:00:00,2,2
SNYK-UNMANAGED-XDGDESKTOPPORTALHYPRLAND-7573322,xdg-desktop-portal-hyprland,https://github.com/hyprwm/xdg-desktop-portal-hyprland,2020-01-01 00:00:00,2020-06-30 00:00:00,6,7
SNYK-UNMANAGED-XDGDESKTOPPORTALHYPRLAND-7573322,xdg-desktop-portal-hyprland,https://github.com/hyprwm/xdg-desktop-portal-hyprland,2020-07-01 00:00:00,2020-12-31 00:00:00,5,12
SNYK-UNMANAGED-XDGDESKTOPPORTALHYPRLAND-7573322,xdg-desktop-portal-hyprland,https://github.com/hyprwm/xdg-desktop-portal-hyprland,2021-01-01 00:00:00,2021-06-30 00:00:00,11,19
SNYK-UNMANAGED-XDGDESKTOPPORTALHYPRLAND-7573322,xdg-desktop-portal-hyprland,https://github.com/hyprwm/xdg-desktop-portal-hyprland,2021-07-01 00:00:00,2021-12-31 00:00:00,5,21
SNYK-UNMANAGED-XDGDESKTOPPORTALHYPRLAND-7573322,xdg-desktop-portal-hyprland,https://github.com/hyprwm/xdg-desktop-portal-hyprland,2022-01-01 00:00:00,2022-06-30 00:00:00,4,23
SNYK-UNMANAGED-XDGDESKTOPPORTALHYPRLAND-7573322,xdg-desktop-portal-hyprland,https://github.com/hyprwm/xdg-desktop-portal-hyprland,2022-07-01 00:00:00,2022-12-31 00:00:00,8,30
